,dish_type,restaurant_name,price,star,comment_num,location
304,日本料理,立方铁@铁板烧（香港名都店）,79,5,1126,黄浦区
305,日本料理,渔喜寿司（莘朱路店）,42,5,502,闵行区
306,日本料理,牛吞炭火烧肉,155,5,574,静安区
307,日本料理,桃山日本料理铁板烧,224,5,709,浦东新区
308,日本料理,一番屋日本料理·铁板烧（上海大厦店）,165,5,792,虹口区
309,日本料理,多番漫怡精食（上滨生活广场店）,241,4,0,虹口区
310,日本料理,鱼鱼海鲜日本料理·鱼鱼居酒屋,208,5,478,闵行区
311,日本料理,伊藤家（瑞金店）,156,5,321,黄浦区
312,日本料理,源季日本料理,125,5,134,虹口区
313,日本料理,鲜道铁板烧（百联南桥购物中心店）,89,5,1078,奉贤区
314,日本料理,上井精致料理（吴中店）,270,4,749,闵行区
315,江浙菜,蟹状元阳澄湖大闸蟹（新邻生活广场店）,324,5,57,黄浦区
316,江浙菜,维扬菜馆酸菜鱼,30,3,1,宝山区
317,江浙菜,怡婷酒楼,36,5,310,黄浦区
318,江浙菜,品臻私房料理,354,4,0,静安区
319,江浙菜,金泽庄园,0,5,2,其他区
320,江浙菜,华鑫壹号,110,3,1,青浦区
321,江浙菜,徽派里传统徽菜（宝山万达店）,60,4,48,宝山区
322,江浙菜,盈港金兰坊,48,3,0,青浦区
323,江浙菜,三益枫泾烧卖（人民北路店）,18,3,3,松江区
324,江浙菜,米桃-吴韵风雅·曲园（南丰城店）,117,4,11,长宁区
325,江浙菜,蒋记海鲜（望园路店）,92,5,2580,奉贤区
326,江浙菜,上海1号私藏菜（黄浦店）,99,4,1545,黄浦区
327,江浙菜,圆苑（梅龙镇广场店）,158,4,199,静安区
328,江浙菜,申龙酒店（阳光店）,86,4,1166,奉贤区
329,江浙菜,乐忻皇朝汇（国金中心商场店）,97,4,2490,浦东新区
330,日本料理,樱之海日本料理（圣诺亚大厦店）,146,4,8,普陀区
331,日本料理,井上家（大兴街店）,52,5,1588,黄浦区
332,日本料理,旨料亭日本料理（四川北路店）,278,4,698,虹口区
333,日本料理,和岚一番烧肉（金山百联店）,112,5,186,金山区
334,日本料理,岩屋日本料理,152,4,1401,松江区
335,日本料理,一番屋铁板烧（漕宝路店）,116,4,4702,徐汇区
336,日本料理,MOLI烧肉（保利时光店）,180,4,9,徐汇区
337,日本料理,赤坂亭·M9和牛放题（松江万达广场店）,221,4,2058,松江区
338,日本料理,蘭庭·寿喜烧·炉端烧·酒（星乐汇商业街店）,102,5,73,虹口区
339,日本料理,米亭味自慢料理（陆家嘴店）,356,4,0,浦东新区
340,日本料理,樱木屋,177,5,755,松江区
